구분,2020년,2021년,2022년,평균,증감률,증감
미동정 가마우지류,0,91,0,30,0,0.85
미동정 백로류,0,0,0,0,0,0.85
미동정 고니류,0,0,65,22,0,0.85
미동정 기러기류,"6,573","17,400",640,8204,-0.902631979,0.5
미동정 오리류,132,"6,500",0,2211,-1,0.5
미동정 흰죽지류,0,0,0,0,0,0.85
미동정 맹금류,1,2,0,1,-1,0.5
미동정 소형도요류,0,0,0,0,0,0.85
미동정 중형도요류,0,0,0,0,0,0.85
미동정 도요류,100,0,0,33,-1,0.5
미동정 갈매기류,"1,665","5,650",336,2550,-0.798198198,0.5
미동정 밭종다리류,0,0,0,0,0,0.85
